probe	01008T_E	01009_E	01012T_E	01013T_E	01015T_E	01016T_E	01017T_E	01018T_E	01019T_E	01020T_E	01022T_E	01025_E	01027_E	01028T_E	01029T_E	01030T_E	01031T_E	01032T_E	01033T_E	01034T_E	01035_E	01037_E	01040_E	01041_E	01044_E	01046_E	01048_E	1010-1	1012-1	1017-1	1022-1	1024-1	1031-1	1033	1034-2	1036-1	1047-1	1053-1	1056-4_DK	1058-2	1060-1	1065-1	1066-1	1073-1	1077-1	1078-1	1083-1	1086-1	1093-1	1105-1	1117-1	1131-1	1134-1	1145-1	1146-1	1158-1	1164-1	1182-1	1189-1	1191-1	1195	1206-1	1209-1	1210-1	1211-1	1211-2	1224-1	1238-1	1250-1	1252-1	1255-1	1257-1	1259-1	1264-1	1280-1	1282-1	1290-1	1293-1	1303-1	1325_S	1327-1	1330-1	1334-4	1335-1	1336-1	1337-1	1342-1	1345-2	1346-1	1349-1	1352-1	1354-1	1366-1	1367-1	1375-1	1379	1379-1	1390-1	1408-1	1412	1413	1415-1	1425-1_DK	1430-1	1434-1	1442	843-1	845-1	848	855-1	856-2	861-1	865-1	867	867_UK	876-1	879	880-1	881-1	886-1	8908_S	898-1	908	910	916-1	924-1	925-7	926-1	927-1	930-1	938-1	941-4	942-1	943	944-1	962-1	965	967-3	970-1	972-1	992-1	997-1	998-1	102_F	105_F	107_F	112_F	113_F	169_F	171_F	193_F	194_F	735-1_DK	1082-1_DK	112-10	129_UK	132_UK	140-16	154-5	167_UK	168_UK	177-1	187_UK	19134_S	19292_S	195	19700_S	19783_S	19992_S	20421_S	20577_S	20724_S	20750_S	20803_S	20975_S
SEQ1	0.807044125	1.26742725	0.444348183	-0.033754346	-0.67932055	0.035738635	3.9452742	1.146352825	0.035365603	1.09911255	0.824678938	-0.014327205	1.53266715	0.539706888	0.773678265	0.70891616	0.313907328	-0.381560987	0.764259525	0.807212638	0.393809165	0.494486713	1.042760638	0.812601815	1.338871025	0.670934828	0.128494758	1.4050723	1.185164375	1.6322724	2.069973525	0.782958388	-0.250106865	0.53355389	1.69386645	0.7233654	0.024479955	1.77557235	-0.46000639	1.037614175	0.41535676	-0.139511425	0.091406483	0.683642018	-0.154775769	-0.186129523	-0.244385715	0.556814805	1.326922475	-0.00497457	-0.160552468	1.47593735	0.78163279	0.600992918	0.526874178	0.550553985	-0.4631047	0.327946298	0.19279648	-0.213734378	0.33843328	-0.180141955	0.959917313	0.06001704	1.006341788	0.8433844	1.4861606	1.04486689	1.007845133	-0.054885383	0.88852368	-0.142146874	1.200542975	1.227891875	0.573465835	1.5498377	0.88895832	-0.199919469	0.565644963	1.81203665	1.142277175	0.067019145	1.48924425	1.74131825	0.834901008	0.677868583	0.48836379	0.25514513	1.5666579	0.735268335	1.142401875	0.755709898	1.832134525	-0.030125686	1.4445115	0.686792523	0.148768343	1.116177463	0.53120135	1.272564875	1.201624375	1.172354175	0.966219358	2.10131325	1.6065329	0.67400381	0.581156435	1.84447235	-0.517795695	2.041442625	0.11705669	0.93895871	0.761487713	0.322089165	1.04615547	1.508218825	0.18016075	0.505290898	3.2859924	1.582804675	1.361814525	0.41623095	0.610587685	-0.215354253	1.290277975	0.465287623	0.556355093	0.73702801	1.21307994	-0.059576755	0.177609077	1.20778735	-0.10247319	0.361481858	0.443355963	0.012717366	1.607270725	0.34282657	-0.362750238	0.658980023	0.82004365	0.59073274	0.516657125	0.9842149	1.919497325	2.12679915	1.88172345	2.318861525	1.07842535	1.605576925	1.96232705	1.861057425	1.62295185	1.1111403	0.28139259	1.75475625	1.171989	0.737402923	1.184656	-0.195871284	1.57558465	0.542509793	1.2672819	1.78231555	1.8483901	-0.457769813	1.795408775	-0.107419228	0.838911038	1.147159475	0.059013878	-0.083291538	1.017047385	0.813002173	0.9278386
SEQ10	-1.2166777	-0.90784498	-1.342968725	-0.452105793	-1.06309266	-0.950810658	-0.132672	0.735283108	-0.96818065	0.049540525	0.9574045	0.035243543	-0.40699714	0.505916593	0.283003458	-0.44589105	0.3658398	-0.37569316	-0.269007538	-0.046547205	-0.146439416	0.430244503	-0.3245319	-0.183221233	0.50018446	0.576206265	-0.322942287	0.50195719	-0.106220825	-0.959638575	-0.271334691	-0.623217865	-0.768200063	-0.237637023	-0.539357803	-1.564112175	0.097400856	0.298955213	-0.52155851	0.518604548	-0.477488993	-0.980400048	-0.97139185	-0.641431325	0.015349681	0.038313805	-0.910103115	-0.605606675	-0.420626675	-0.642397598	0.0271603	0.273087715	-0.283504978	0.073528176	-0.189313737	-0.674394318	-0.682445613	-0.359172583	-0.118901619	0.356800973	-0.50123534	-0.055669529	0.071449354	-0.082729976	-0.38819341	0.24501246	0.37645202	-0.33037029	-0.62877903	0.706512173	-0.540641255	-0.95230881	-0.210518492	0.106526891	0.410235333	0.046062885	0.088623594	-0.011960905	-0.14733062	-0.52246165	-0.96438341	-0.025669176	-0.067957606	-0.127803493	-0.268980429	0.10494062	-0.850348125	0.019706765	-0.254355995	-0.028730718	-0.38256829	-0.403237093	-0.502277673	-0.628848375	-0.213383075	-0.469527893	-0.271949733	0.407995055	-0.623719065	0.798578895	0.557814313	0.164169469	-0.571198163	0.121172269	-0.008961594	-0.109656556	-0.431715793	-0.61720759	-1.00248946	0.68562616	-0.398875733	-0.49462909	-1.004894225	-0.32547971	-0.632067018	-0.050900288	0.579823715	0.389173778	-0.759960768	0.027872194	0.283343605	0.062399898	-0.029343657	-0.194415693	0.076843032	-0.053925158	-0.713146158	-0.862282725	-0.9157202	-0.277449245	-0.402431973	-0.107430584	-0.326585614	-0.03912576	-0.524985858	-0.279295633	-0.418410008	-0.242948778	-0.38337582	-0.566017133	-0.19865565	-0.00429571	0.159201476	-0.145491612	-0.43391096	-0.280143393	-0.4198844	-0.706989788	-0.296828191	-0.75288001	-0.079058771	-0.183331437	-0.148359766	-0.408247918	-0.48772075	-0.259725968	-0.190099232	-0.409789998	-0.59983158	-0.091601508	0.45567346	-0.475531098	-0.200487247	0.269432604	0.1516795	0.566152745	-0.62604757	-0.487868655	-0.203415755	-0.321481133	-0.339965305	-1.39481875	-0.354246245	-0.202160714	0.277126725
SEQ100	0.1347513	0.103633395	0.27915926	0.346452293	0.48764457	-0.070009836	0.085860135	-0.466033918	0.27954363	-0.058065436	0.576815553	-0.691612678	-0.26667375	-0.325449483	-0.202728581	0.135527007	0.06222636	0.227330045	-0.122684089	-0.088657435	0.505049973	-0.167585658	0.035847325	-0.233163133	-0.292048538	-0.277634304	-0.457712924	0.075561703	0.367971333	0.109018157	0.207714059	0.81312056	0.45735416	0.211693908	-0.024922998	0.278597676	-0.252927768	0.092935326	0.030097993	-0.267515963	-0.153356078	0.366717853	0.046334935	-0.13351868	0.114538792	0.320262905	0.082499054	0.087407235	-0.221373085	0.4625703	0.305896598	0.527952983	0.401931	0.18021425	0.092337249	0.109309996	0.29091524	0.63628737	0.040683755	0.017513816	-0.055552518	0.397882108	-0.065188777	0.25802802	-0.009477618	-0.002445798	0.212951225	0.094414183	0.096986136	0.14435868	0.016426006	0.71498495	0.394206718	0.144520935	0.096621173	0.074628576	-0.105022185	0.16285181	0.235878873	-0.197840993	0.7539794	-0.061956271	-0.014779033	0.49380827	0.72351893	0.239730043	0.574474988	-0.045654406	0.042653457	0.195502274	-0.078162201	0.03049117	0.309005873	0.116030544	0.258151995	0.3410728	-0.114723103	0.446611878	0.366530273	-0.037587394	-0.069965218	0.102866628	-0.037318013	0.065168723	-0.117823984	0.221472795	0.062775272	0.458326475	0.786495467	-0.175076524	-0.264403158	-0.19133894	0.428049325	0.060342807	-0.438985765	-0.068991904	0.216398412	0.183936971	0.432150388	-0.418400683	-0.167767845	-0.133637585	0.839330268	0.396402775	0.232661863	0.133324753	-0.045921626	-0.073230059	0.413159179	-0.185572431	-0.399170813	-0.213900187	0.216393933	0.054386335	0.58656378	-0.027106313	0.398198623	0.20181577	0.42737107	0.342288145	-0.5638092	0.003953333	0.007926223	0.358413398	-0.073614527	-0.17563994	-0.21053322	-0.38330482	-0.185525898	-0.040292514	0.050164626	0.012566105	-0.157582498	0.005804407	-0.234884003	-0.22849175	0.202148295	0.302721423	0.198677568	0.36677049	0.172599417	0.033796316	0.60136868	-0.200022925	-0.410181158	-0.171572548	0.099535023	-0.130078774	-0.126537759	0.13430508	0.52155192	0.618784128	-0.046929181	0.442074875	-0.209751633
SEQ1000	-2.59797165	-1.329419975	-2.6296789	-2.038680625	-2.38401955	-2.75582425	-0.879830865	-1.274667175	-0.66249651	-0.400983018	-1.137509358	-1.682387775	-1.970332225	-1.844105525	-1.97330975	-2.592529675	-2.374478725	-2.929938975	-1.14467305	-1.906420575	-2.5840939	-2.34815455	-1.330987875	0.337137265	-0.768603738	-1.58784865	-1.20948885	-2.216967225	-2.825931425	-0.421143368	-1.09857356	-0.932064253	-1.3279571	-2.02576795	-0.491593375	-2.18210855	-2.37770265	-2.9932468	-2.0475269	-1.1830377	-2.3469345	-2.244492925	-2.1740173	-1.215829775	-2.82386695	-1.259175975	-2.426576175	-2.15326585	-3.098907225	-2.6540099	-2.093327125	-2.882386125	-1.768180075	-2.300700025	-3.23259725	-2.8274348	-1.913418933	-2.08843625	-2.7494507	-2.532010025	-1.686062538	-3.208672875	-0.346731445	-2.96245655	-3.144276425	-0.8470827	-1.8620079	-2.436374075	-2.10396885	-2.86540885	-2.89962835	-2.55747235	-1.1288571	-1.49770395	-2.868910775	-2.6213976	-2.57242915	-3.027814675	-0.599252993	-0.100110006	-2.059257625	-1.804065175	-2.65278	-2.6212716	-2.2380429	-0.895308925	-2.2593862	-2.31000545	-2.007647425	-2.3726918	-3.0510265	-2.27611105	-1.250644375	-1.649177325	-2.505722225	-2.16429215	-2.143384175	-1.1993926	-2.05292995	-2.729841225	-2.367992075	-1.05855715	-2.004707525	-1.883526275	-1.9015067	-1.65914375	-2.84540945	-1.50426375	0.54811719	-1.92855675	-0.6671388	-2.032965425	-3.097436575	-2.237473	-0.823769533	-1.71983735	-1.67072985	-2.0011224	-2.3129937	0.093336629	-1.370144025	-2.555670425	-1.950403875	-0.84392987	-2.34231845	-2.1571312	-2.589948775	-2.599312	-2.239158175	-3.08412195	-0.922205188	-2.63161225	-2.4450561	-1.916612425	-2.86388275	-2.98503555	-1.84536735	-1.1196423	-1.8074673	-2.809928875	-0.75751372	-3.0774622	-1.74383125	-2.859996125	-2.444279075	-2.496644725	-2.43606015	-2.121356625	-2.81348145	-2.493090275	-2.18587045	-2.694537475	-2.6091236	-0.430205193	-2.24691735	-2.095074725	-0.564234325	-2.0312083	-2.341961225	-1.16849125	-3.75035005	-2.48708325	-2.17937845	-1.479368575	-2.27291915	-2.117685275	-1.2893757	-0.728538583	-1.702598975	-1.515641975	-0.711494498	-2.849078775	-1.848720375	-1.122175375	-0.830491025
SEQ1001	1.4934432	0.279695446	0.571298498	1.9196091	0.660094428	0.929473858	0.925247593	2.002964275	1.018920175	0.97580505	-0.723351655	0.4140585	0.748549358	1.234633525	0.695671828	0.574023893	1.062962523	0.594875398	1.61753715	1.076854725	-0.108078978	1.21346675	1.1826982	0.033674048	0.03877598	0.402227688	0.39120186	0.755413548	0.836005598	1.242807175	0.022746887	0.46304529	1.005469568	-0.123814417	0.120318508	1.7315642	1.392864925	0.90033905	-0.469433563	-0.007361197	0.918520005	1.9823873	0.88100454	1.226610315	1.526010025	-0.119996203	1.169162075	1.2738392	1.055424975	1.484217125	1.063921708	1.598838725	0.925766425	0.559578615	0.9826895	0.745965918	1.134144608	1.420915925	1.14597465	0.806671458	0.489701358	1.660316075	-0.042885574	0.809998775	0.844028393	-0.593586958	-0.004906233	0.017155692	0.716643588	0.925400398	0.537936898	1.5387701	-0.195637377	1.539366275	1.28292761	0.75776121	0.804463665	2.783390075	0.222012619	-0.479783008	-0.055549685	0.81211321	0.88301775	0.918024765	-0.121768048	-0.290050975	1.02120361	0.48277145	1.1864497	0.799322473	0.67831264	0.892769533	1.60966495	0.659927333	0.719483625	0.268896058	0.9669575	-0.37666198	0.202729938	1.180982425	0.34760928	0.7589615	-0.592221028	-0.121541303	0.202773332	2.912562	1.0791362	0.037877658	2.035279325	0.345436028	-0.091311264	0.709992018	0.989226078	0.53339435	-1.709894125	1.002300075	-0.011666703	0.63053299	-0.19499327	-0.51916102	0.75318664	2.230350625	1.616625425	0.545405675	0.832974153	-0.764628865	0.981683965	0.423770728	1.179822788	1.53585445	-0.240160294	0.98226664	0.849213153	0.723968785	0.830405685	1.1252827	0.454250399	-0.389758648	1.150825525	1.436686975	1.450265875	0.659792513	0.1487862	-1.204489275	-0.29279108	-0.870101143	-1.19519141	-0.899333865	-1.198176163	-0.264063881	-0.95066003	-0.64077308	0.148872275	-0.689239628	0.651264818	-0.379972675	-0.696918103	0.756480675	0.483224323	-0.877697333	-0.43114543	1.7779949	-0.334531603	-0.570195045	0.454786935	0.39660443	-0.307944478	0.631278868	-0.122903504	0.324069098	-0.150113793	-0.12323624	0.93368216	-0.141665112	-0.171733813
SEQ1002	-0.538812415	-1.14745775	-0.73902183	-0.923565535	-0.396315928	-0.743350325	-0.063904801	0.071804819	0.268468713	0.23754937	-0.806604998	-0.426009445	-0.434891335	-0.779754493	-0.288204446	-0.30019071	-0.683893628	-0.60544654	-0.265859905	-0.375180675	-0.789706553	-1.24301495	-0.858115123	-0.675791225	-0.8680396	-0.868029793	-0.624194168	-0.486361148	-1.14853145	0.040530426	-1.334374185	-0.011458648	1.10963941	-0.49250803	-0.743684835	0.120623773	-0.555574928	-0.276701088	-2.4699322	-0.744353155	0.059123907	0.118917811	-0.448304825	-1.468948725	0.156019864	-0.672823918	0.009844204	0.263680488	-0.734082083	0.321709863	-0.310824558	-0.611550853	-0.51594103	-0.681096348	-0.252685011	-0.08209816	-0.097484913	-0.10925478	0.18841741	-0.446093423	-0.519297273	-0.479572975	-0.313602633	0.031927749	0.036309007	-0.153801125	-1.260661	-0.665538853	-0.282603688	0.589915183	0.26920344	0.140228783	-0.523879638	-0.110060094	-0.133810188	-0.302387558	-0.859703893	-1.261424663	-0.050051838	-0.121407735	-0.240375025	-0.266705177	-0.320798818	-0.712914218	0.098578919	-0.252817645	0.056516432	-0.48563098	-0.656075828	-0.493076943	-1.280879825	-0.783777275	-0.324749823	-0.028903672	-0.549039058	-0.45262604	-0.289728823	-0.194287346	0.096820438	-0.46824126	-0.50922057	-0.836707863	-1.78348775	-0.89613655	-0.640666068	-1.182294675	-0.653525715	-0.46987015	1.378614825	-0.718358188	-1.300349025	-0.36184188	-0.161121351	-1.412849	-1.25179199	-0.022567754	-0.082828525	-0.580835378	-0.55892253	-0.279023328	-0.32050398	-0.590228105	-0.54923924	0.59025157	-0.089607273	-0.212358013	0.109670005	-0.29462441	-0.31261425	-0.51955876	-1.034374883	-0.257630968	-0.48575191	-0.129821258	-0.326179386	-0.431408083	-0.770655655	-1.116136435	-0.07078781	-0.551888025	-0.766918163	-0.651970968	-1.57273715	-1.900868925	-1.469419575	-1.247107525	-1.28481255	-1.234723075	-1.206115818	-1.01163186	-0.70024686	-1.1364946	-0.754973975	-0.117039809	-0.569525303	-0.422091258	0.123285688	-0.898207923	-0.717316175	-0.507265063	-2.0553438	-1.122642475	-0.675264125	-0.636666955	-1.082587475	-0.524119163	-1.7595147	-1.519507125	-0.844482045	-1.467844825	-0.956344563	-0.516322125	-0.57210154	-1.28668305	-1.48638765
SEQ1003	0.414395145	0.166789388	0.175902918	0.702585358	0.54880211	0.215434804	0.265541309	0.264013438	0.588677088	0.05513912	-0.6670288	-0.418538605	0.212883765	0.287805185	-0.10890933	0.144409667	0.49223648	0.2710323	0.303993923	0.28803491	0.015236821	-0.073347593	-0.084490018	-0.7237556	-0.394867178	-0.293342518	-0.407702238	0.059769769	0.187307144	0.665990313	-0.293584775	0.6889272	0.5538537	-0.370409863	-0.270613691	0.33329332	0.056864523	0.708470935	0.162757356	0.234140363	0.64198581	0.90285795	0.34363307	0.383821625	0.306479319	0.072325494	0.684968018	0.715087823	0.50253445	0.55830218	0.309173723	0.77230515	0.330994566	0.237755618	0.307868203	0.164892649	0.605952585	0.17505396	0.458841515	0.403380133	0.170608074	1.22656355	0.600789878	0.246932189	0.043687809	-0.097458357	0.003461124	0.6819447	0.218239603	0.491997978	0.368821865	0.766549457	0.60419269	0.426426318	0.34222194	0.327210085	0.394725055	0.618870315	0.375156698	-0.794423733	0.30936756	0.12102329	0.341998898	0.131222175	-0.123324732	-0.154606388	0.857198125	0.73685904	0.60649462	-0.340759638	0.155025805	0.362127818	0.36471582	0.45811358	0.382537618	0.476222653	-0.065218595	-0.118488538	0.095074138	0.225594194	-0.025822161	0.154060887	0.143632944	-0.231270365	-0.109925129	0.377306235	0.222387865	0.236274795	1.27471625	0.636879348	-0.411590915	0.000491535	0.86052999	0.221822323	-0.499931208	-0.13030895	-0.284251505	0.043364356	0.840981235	-0.503624718	-0.447623884	0.652057243	1.052968375	0.530127788	0.433458197	-0.173170663	0.7060782	0.446977065	0.263991763	0.430134463	-0.3644205	0.230047028	0.230598933	0.006327023	0.231599698	0.50089324	0.251108685	0.009696279	0.657166833	0.59322485	0.034689084	0.55484393	0.06615237	-0.806229213	0.163894283	-0.307868379	0.135720243	0.010955703	-0.111734025	0.393877965	-0.20044197	-0.164881137	0.426523108	-0.084487131	-0.029740031	-0.140671689	-0.098366828	0.49720347	0.188826347	-0.460208563	-0.092057857	1.2129177	-0.032240602	0.091402268	-0.09987406	0.139286716	-0.644415725	0.125018818	-0.2272394	-0.064244811	-0.179702351	0.133755092	0.733992148	-0.430391603	-0.916248118
SEQ1004	-0.674872058	0.994042625	0.31265614	1.26779025	0.960579968	-0.94740811	-1.0849198	-0.753014883	1.1719613	-1.7079685	-2.692426675	-2.26920615	0.776494858	1.76368035	-1.91660745	-0.819197723	-0.400340965	-2.44185085	0.91052415	-1.861594825	-1.6691834	-0.857805393	0.52547399	-2.328670475	-2.4033931	-2.588038225	-2.586225075	-1.10605045	-0.88718185	-1.5734943	-0.077095179	-0.241157945	-1.488403063	-2.78243235	-0.435814058	-0.039724953	-0.220301142	-1.857245575	-1.638859125	-1.77117885	-0.490276633	-0.198829222	-1.410314225	-1.253223675	-1.737578925	-1.884411125	-1.430984375	-1.28371325	-1.3510882	-1.07635335	-1.244793075	-1.530714175	-2.878547075	-1.8979763	-0.8555069	-1.708492725	-1.011973965	-0.85493565	-0.242662383	-1.6099648	-0.8898486	-1.222866375	0.07148288	0.251021945	-1.881728475	-1.790715975	-0.679612	-0.516720728	-1.53393235	-0.944097638	-1.317083425	-0.533051858	-1.273762325	0.38148503	-0.121808988	-0.799200415	-2.095568725	-0.073897556	-0.881354675	-0.660310463	-2.185593	-0.726286365	-0.656143988	-0.237313804	-1.739272625	-1.9324561	-1.152009825	-1.139079525	-1.2637521	-2.66671195	-0.715510525	-0.166185485	0.898852525	-1.113273113	-1.911308725	0.923138675	-0.054089888	-2.4817011	-0.409801433	-2.495044175	-1.8490113	-1.314773335	-0.958047948	-2.825112575	-2.1910065	-1.590984	-0.223745749	-1.2027033	-1.68036155	-1.3656917	-1.197362113	0.673017178	-0.5784082	-0.3736249	-0.94119269	-1.82771325	-1.49945785	-1.9489787	-0.23011283	-1.2236664	-1.733151475	0.547108415	1.155608925	0.237868935	-1.236875975	-2.5831337	-0.771021298	-1.144967	0.204357584	0.069060773	-0.313782383	-0.835136088	-0.005855053	-1.6120243	-1.270439308	-1.7048766	-1.390524125	-0.59525595	-1.0503824	-2.0839584	-1.375833085	-0.92187999	-1.180993875	-2.26561805	-1.7676571	0.099006081	-0.173624213	1.286251175	-1.917059325	0.149375673	1.0995285	0.391802461	-1.406362375	-0.984927775	-0.670316153	1.5645761	-0.738755113	-0.41925098	-0.429944595	-2.062573	-2.619994575	-0.683568725	-1.474826875	-1.965187525	-1.70494375	-1.2598073	-1.452948625	-0.228623279	0.565446375	-1.284599425	-2.164909325	-1.1229585	-1.219655925	-1.36304625	-1.547348325
SEQ1005	-0.289820165	-0.273424088	-0.235929273	-0.277546436	-0.78826975	0.439066025	1.79685975	0.24744048	0.509475075	0.278496703	1.29333175	-0.067134834	0.365009537	0.026711083	-0.23778112	-0.264111053	-0.32855829	-0.258961587	0.36539067	-0.134622444	0.128037004	-0.24735115	0.079407901	-0.671940035	-0.883967995	0.27987194	-0.438337568	-0.018174488	-0.173695561	0.44123955	0.048492448	0.408124625	0.205431015	0.479457675	-0.057839353	-0.642878185	-0.02715548	0.09178735	-0.0108941	-0.327193305	0.227120741	0.375273988	-0.346690248	0.26720489	-0.794011435	0.052619752	0.102508152	0.112657511	-0.82655498	-0.158357063	0.4426139	-0.490663443	0.00977757	-0.06966939	-0.528180223	0.380271533	0.45646535	0.164293558	0.643235843	-0.081472185	0.12090992	-0.970263863	0.114586493	0.3786822	-0.715211595	-0.03102416	-0.210276173	1.81627965	-0.144223725	-0.264902565	0.2137004	-0.036042392	0.40480911	-0.015930049	-0.381257503	0.198114406	0.054847145	-0.560343338	-0.113492049	0.623376003	-0.634888878	0.051848884	0.00544374	-0.024001865	-0.8550999	-0.18664336	-0.30535326	-0.048385483	0.259206728	-0.58280647	-0.302847857	-0.210594916	-0.204254466	0.636428365	0.311750388	-0.036873825	-0.425099375	-0.394264343	-0.356231808	-0.839452068	-0.653510974	-0.117315945	-0.225676978	-0.560368505	-0.63891085	-0.341333646	-0.347353143	0.095998265	0.740592695	0.028569664	0.09982456	0.166624059	-0.357326105	0.436056123	0.080398153	0.222209136	0.797347263	-0.204217659	0.370782993	0.290470173	0.07305218	-0.177873716	-0.070290938	0.758797855	0.287402675	1.652558825	0.066859057	0.006207678	-0.016014826	1.42774785	-0.227825824	-0.136558443	-0.144133163	-0.513217128	-1.171379525	0.543652593	0.192127582	-0.005310868	-0.71257645	-0.921154575	0.135755294	-0.212287406	0.251341405	0.869416475	-0.3996123	-0.075893858	0.272740813	0.279017783	-0.076030515	0.186403528	-0.009255001	0.057952079	-0.145076668	0.395640623	-0.637560938	0.044451787	-0.414899145	-0.349594155	-0.225024985	1.399792225	-0.327361143	0.14893547	0.065066307	0.735510038	-0.470049065	0.61037244	0.835436138	0.326859783	0.666112498	0.078638705	-0.453435318	-0.262893156	0.097212263	-0.37989938	0.099702677
SEQ1006	-0.419623023	-0.48621708	-0.859022068	-0.307972765	-0.592426032	-0.06922918	1.510532425	0.78947495	0.99188705	0.190145835	0.361495708	-0.403392243	-0.222760753	0.237097926	-0.110091822	0.058624156	-0.111255116	0.153563323	0.565940013	0.21606414	0.24396444	-0.407130241	0.709536108	-0.007373808	0.101779858	-0.149020203	-0.269060447	0.090729264	0.007567358	-0.562323576	-0.168942905	0.050030648	0.618750775	0.131111025	-0.665232388	0.079994537	-0.200817868	0.131387075	-0.432882519	-0.431701813	0.265144738	0.027083513	0.075140411	-1.045494725	-0.114893557	0.001241326	-0.328152785	0.071119426	-0.253921441	0.127663117	0.187920468	-0.209718152	0.050203804	-0.411496145	-0.125658883	0.013336138	0.42117421	-0.035262434	0.09033991	-0.033778295	-0.7817443	-0.265075392	0.289631895	-0.05177401	0.101929872	-0.924977788	-0.387394425	1.03204055	-0.118271063	-0.319003315	-0.293948073	0.473315706	0.127555541	-0.141882535	-0.318744474	-0.185815663	-0.233515162	-0.405406828	0.193918288	-0.289782078	-0.408558351	-0.138620334	0.381067427	0.056548054	-0.391189498	-0.127167096	-0.003013173	0.197296264	0.072871041	-0.208696426	0.237566295	0.114607464	-0.460564433	0.863280185	0.037591419	0.226905118	-0.335921655	0.247510027	-0.264805949	0.16304229	-0.093878728	-0.722662683	-0.211060173	0.061556461	0.212094525	-0.789191483	-0.22114685	-0.01506983	0.282705027	-0.212189278	-1.096427053	-0.027975148	-0.710521938	0.063907447	-0.558651645	0.82067835	0.833094508	0.431359548	-0.05812868	-0.877254543	0.598182533	0.076533228	0.09566198	0.352535305	-0.031730318	1.447642575	0.297854268	-0.333844329	0.406043663	-0.2795871	-1.00813575	-0.873344515	0.391436223	-0.311779005	-0.476696508	0.02908529	0.312910858	-0.317429215	-0.079927403	-0.253923068	-0.725484608	-0.340268393	-0.25182758	0.106561377	0.084546442	0.234860205	-0.14849352	0.466052442	0.308238469	-0.023984359	-0.64496806	-0.470517088	-0.549371753	0.210098458	0.555249115	-0.148383839	-0.480958965	0.043459123	0.235255993	1.228204725	0.36775087	0.075312452	0.522732914	-0.106616877	-0.622638353	1.251552153	-0.654792805	-0.06092831	0.141771183	-0.631981375	-1.59591895	-0.341375608	-0.11363503	-1.617100625	-1.531431325
